Brand,Model,Inches,Price,Price_Category,DisplayType,PPI,outlier_flag
Oneplus,y1s 4,40,18990,Affordable,Full HD,55.07,0
Tcl,32s5403af 3,32,13990,Affordable,Full HD,68.84,0
Tcl,32s5400a 3,32,9990,Budget,HD-Ready,48.97,0
Sony,bravia kd-65x74l 6,65,74990,High-end,4K,67.78,0
Sony,bravia kd-43x74k 4,43,39990,Mid-range,4K,102.46,0
Dyanora,dy-ld43u2s-001 4,43,18990,Affordable,4K,102.46,0
Thomson,fa series 42rt1044 4,42,15499,Affordable,Full HD,52.45,0
Thomson,fa series 32rt1022 3,32,10499,Affordable,HD-Ready,48.97,0
Thomson,fa series 43rt1055 4,43,16999,Affordable,Full HD,51.23,0
Samsung,ua32t4380ak 3,32,14990,Affordable,HD-Ready,48.97,0
Acer,ar70gr2851ud 7,70,69999,High-end,4K,62.94,0
Iffalcon,iff32s53 3,32,11999,Affordable,HD-Ready,48.97,0
Iffalcon,iff43u62 4,43,18999,Affordable,4K,102.46,0
Iffalcon,iff50u62 5,50,24999,Affordable,4K,88.12,0
Iffalcon,iff55u62 5,55,26990,Affordable,4K,80.11,0
Samsung,crystal vision ua43cue70akl 4,43,31490,Mid-range,4K,102.46,0
Thomson,32alpha007bl 3,32,8499,Budget,HD-Ready,48.97,0
Xiaomi,x series l50m8-a2in 5,50,34999,Mid-range,4K,88.12,0
Xiaomi,mi tv 4x 5,50,34999,Mid-range,4K,88.12,0
Thomson,q65h1100 6,65,43999,Mid-range,4K,67.78,0
Lg,32lm563bptc 3,32,20990,Affordable,HD-Ready,48.97,0
Oneplus,y1s pro 4,43,29990,Affordable,4K,102.46,0
Infinix,32y1 3,32,8999,Budget,HD-Ready,48.97,0
Lg,55uq7500psf 5,55,43990,Mid-range,4K,80.11,0
Lg,43ur7500psc 4,43,32990,Mid-range,4K,102.46,0
Samsung,ua55cue60ak 5,55,47990,Mid-range,4K,80.11,0
Samsung,ua50cue60ak 5,50,44990,Mid-range,4K,88.12,0
Motorola,32hdgdmbsxp 3,32,11499,Affordable,HD-Ready,48.97,0
Cooaa,32s3u pro 3,32,8499,Budget,HD-Ready,48.97,0
Lg,43up7500ptz 4,43,36990,Mid-range,4K,102.46,0
Kodak,9xpro 329x5051 3,32,10499,Affordable,HD-Ready,48.97,0
Kodak,43fhdx7xpro 4,43,23499,Affordable,Full HD,51.23,0
Samsung,ua43aue65ak 4,43,28990,Affordable,4K,102.46,0
Marq,32hdcdqee1b 3,32,8399,Budget,HD-Ready,48.97,0
Vu,43gloled 4,43,29999,Affordable,4K,102.46,0
Acer,v series ar43gr2851vqd 4,43,24999,Affordable,4K,102.46,0
Thomson,op max 55opmaxgt9030 5,55,29499,Affordable,4K,80.11,0
Hisense,75a6k 7,75,94999,High-end,4K,58.74,0
Hisense,tornado 65a7k 6,65,59999,Mid-range,4K,67.78,0
Hisense,50a7h 5,50,32999,Mid-range,4K,88.12,0
Kodak,55mt5022 5,55,30999,Mid-range,4K,80.11,0
Xiaomi,mi x pro (l50m8-5xin) 5,50,41999,Mid-range,LED 4K,88.12,0
Xiaomi,mi x pro (l43m8-5xin) 4,43,32999,Mid-range,LED 4K,102.46,0
Marq,32hdndqee1b 3,32,7449,Budget,HD-Ready,48.97,0
Marq,32hdndmsvab 3,32,8999,Budget,HD-Ready,48.97,0
Oneplus,32y1 3,32,9999,Budget,HD-Ready,48.97,0
Foxsky,32fsels-pro 3,32,7999,Budget,HD-Ready,48.97,0
Blaupunkt,cybersound 43csa7121 4,43,17499,Affordable,Full HD,51.23,0
Blaupunkt,42csa7707 4,42,16999,Affordable,Full HD,52.45,0
Sony,bravia kd-32w820k 3,32,24999,Affordable,HD-Ready,48.97,0
Haier,le32w400g 3,32,12490,Affordable,HD-Ready,48.97,0
Dyanora,dy-ld24h4s 2,24,6999,Budget,HD-Ready,65.3,0
Dyanora,dy-ld32h4s 3,32,8999,Budget,HD-Ready,48.97,0
Xiaomi,smart tv 5a pro 3,32,25999,Affordable,HD-Ready,48.97,0
Dyanora,dy-ld32h1n 3,32,7999,Budget,HD-Ready,48.97,0
Beethosol,ledatbg32hdek 3,32,7399,Budget,HD-Ready,48.97,0
Sansui,jswy32gshd 3,32,11990,Affordable,HD-Ready,48.97,0
Toshiba,65m550mp 6,65,56999,Mid-range,4K,67.78,0
Sansui,jsw65asuhdff 6,65,51999,Mid-range,4K,67.78,0
Sansui,jsw43asuhd 4,43,25999,Affordable,4K,102.46,0
Realme,smart tv 32 3,32,9999,Budget,HD-Ready,48.97,0
Blaupunkt,cybersound g2 65csgt7024 6,65,39999,Mid-range,4K,67.78,0
Blaupunkt,50csa7007 5,50,28999,Affordable,4K,88.12,0
Blaupunkt,55csa7090 5,55,32999,Mid-range,4K,80.11,0
Lg,oled65a2psa 6,65,149990,Premium,4K,67.78,0
Infinix,43x3in 4,43,16999,Affordable,Full HD,51.23,0
Kodak,ca pro 43capro5022 4,43,23999,Affordable,4K,102.46,0
Xiaomi,mi tv 4a horizon 4,40,29999,Affordable,Full HD,55.07,0
Panasonic,viera th-40hs450dx 4,40,13999,Affordable,Full HD,55.07,0
Panasonic,th-65mx660dx 6,65,64990,High-end,4K,67.78,0
Panasonic,th-55mx660dx 5,55,42990,Mid-range,4K,80.11,0
Adsun,a-3200n 3,32,6789,Budget,HD-Ready,48.97,0
Adsun,a-3200f/n 3,32,7200,Budget,HD-Ready,48.97,0
Compaq,hueq x cqv43fds 4,43,14999,Affordable,Full HD,51.23,0
Beethosol,ledatvbg2483hd17-tp 2,24,5499,Budget,HD-Ready,65.3,0
Beethosol,ledstvbg3285hd27-ek 3,32,8249,Budget,HD-Ready,48.97,0
Foxsky,55fs-vs 5,55,26499,Affordable,4K,80.11,0
Motorola,revou 2 43fhdadmvvee 4,43,22327,Affordable,Full HD,51.23,0
Samsung,ua65aue60ak 6,65,80490,High-end,4K,67.78,0
Lg,32lm565bpta 3,32,13499,Affordable,HD-Ready,48.97,0
Sansui,neo jswy32cshd 3,32,10769,Affordable,HD-Ready,48.97,0
Sens,sens32wygshd 3,32,7999,Budget,HD-Ready,48.97,0
Xiaomi,redmi smart fire tv 3,32,12499,Affordable,HD-Ready,48.97,0
Sansui,jsw43asfhd 4,43,22500,Affordable,Full HD,51.23,0
Samsung,ua32t4010ar 3,32,16290,Affordable,HD-Ready,48.97,0
Lg,lx1 pose 55lx1qpsa 5,55,149990,Premium,EVO 4K,80.11,0
Lg,32lq645bpta 3,32,17999,Affordable,HD-Ready,48.97,0
Nokia,55uhdaqndt5q 5,55,54999,Mid-range,4K,80.11,0
Motorola,50uhdadmrs7p 5,50,35999,Mid-range,4K,88.12,0
Sens,dwinci sens65wgsqled 6,65,39999,Mid-range,4K,67.78,0
Sens,dwinci sens55wgsqled 5,55,31999,Mid-range,4K,80.11,0
Haier,l50eg 5,50,39990,Mid-range,4K,88.12,0
