Name,Brand,Model,Inches,Price,DisplayType,Display,Resolution,Features,Connectivity,Design
oneplus y1s 40 inch (101 cm) led full hd tv,oneplus,y1s 4,40,18990,led full hd tv,"40"" (101.6 cm), LED
Full HD, 1920x1080
60 Hz Refresh Rate",1920x1080,"Apps
Voice Control
Smart Remote","Sound Output: 20 W
2 USB Ports
2 HDMI Ports","892 x 512.6 x 85.6 mm
Weight: 5.1 kg
Colour: Black"
tcl 32s5403af 32 inch (81 cm) led full hd tv,tcl,32s5403af 3,32,13990,led full hd tv,"32"" (81.28 cm), LED
Full HD, 1920x1080
60 Hz Refresh Rate",1920x1080,"Apps
Voice Control
Smart Remote","Sound Output: 24 W
1 USB Ports
2 HDMI Ports","715 x 421 x 80 mm
Weight: 3.44 kg
Colour: Black"
tcl 32s5400a 32 inch (81 cm) led hd-ready tv,tcl,32s5400a 3,32,9990,led hd-ready tv,"32"" (81.28 cm), LED
HD-Ready, 1366x768
60 Hz Refresh Rate",1366x768,"Apps
Voice Control
Smart Remote","Sound Output: 24 W
1 USB Ports
2 HDMI Ports","715 x 468 x 80 mm
Weight: 3.55 kg
Colour: Black"
sony bravia kd-65x74l 65 inch (165 cm) led 4k tv,sony,bravia kd-65x74l 6,65,74990,led 4k tv,"65"" (165.1 cm), LED
4K, 3840x2160
50 Hz Refresh Rate",3840x2160,"Apps
Voice Control
Smart Remote","Sound Output: 20 W
2 USB Ports
3 HDMI Ports","1463 x 852 x 87 mm
Weight: 21.4 kg
Colour: Black"
sony bravia kd-43x74k 43 inch (109 cm) led 4k tv,sony,bravia kd-43x74k 4,43,39990,led 4k tv,"43"" (109.22 cm), LED
4K, 3840x2160
60 Hz Refresh Rate",3840x2160,"Apps and Games
Voice Control
Smart Remote","Sound Output: 20 W
2 USB Ports
3 HDMI Ports","971 x 575 x 77 mm
Weight: 7.8 kg
Colour: Black"
dyanora dy-ld43u2s-001 43 inch (109 cm) led 4k tv,dyanora,dy-ld43u2s-001 4,43,18990,led 4k tv,"43"" (109.22 cm), LED
4K, 3840x2160
60 Hz Refresh Rate",3840x2160,Apps,"Sound Output: 40 W
2 USB Ports
3 HDMI Ports",Colour: Other
thomson fa series 42rt1044 42 inch (106 cm) led full hd tv,thomson,fa series 42rt1044 4,42,15499,led full hd tv,"42"" (106.68 cm), LED
Full HD, 1920x1080
60 Hz Refresh Rate",1920x1080,"Apps
Voice Control","Sound Output: 30 W
2 USB Ports
3 HDMI Ports","954 x 540 x 90 mm
Colour: Black"
thomson fa series 32rt1022 32 inch (81 cm) led hd-ready tv,thomson,fa series 32rt1022 3,32,10499,led hd-ready tv,"32"" (81.28 cm), LED
HD-Ready, 1366x768
60 Hz Refresh Rate",1366x768,"Apps
Voice Control","Sound Output: 30 W
2 USB Ports
3 HDMI Ports","735 x 440 x 110 mm
Colour: Black"
thomson fa series 43rt1055 43 inch (109 cm) led full hd tv,thomson,fa series 43rt1055 4,43,16999,led full hd tv,"43"" (109.22 cm), LED
Full HD, 1920x1080
60 Hz Refresh Rate",1920x1080,"Apps
Voice Control
Smart Remote","Sound Output: 30 W
2 USB Ports
3 HDMI Ports","970 x 570 x 110 mm
Colour: Black"
samsung ua32t4380ak 32 inch (81 cm) led hd-ready tv,samsung,ua32t4380ak 3,32,14990,led hd-ready tv,"32"" (81.28 cm), LED
HD-Ready, 1366x768
50 Hz Refresh Rate",1366x768,"Apps and Games
Web Browser","Sound Output: 20 W
1 USB Ports
2 HDMI Ports","723.3 x 425.1 x 85.7 mm
Weight: 3.8 kg
Colour: Black"
