Name,Brand,Model,Inches,Price,DisplayType,Resolution,Colour
oneplus y1s 40 inch (101 cm) led full hd tv,oneplus,y1s 4,40,18990,Full HD,1920x1080,Black
tcl 32s5403af 32 inch (81 cm) led full hd tv,tcl,32s5403af 3,32,13990,Full HD,1920x1080,Black
tcl 32s5400a 32 inch (81 cm) led hd-ready tv,tcl,32s5400a 3,32,9990,HD-Ready,1366x768,Black
sony bravia kd-65x74l 65 inch (165 cm) led 4k tv,sony,bravia kd-65x74l 6,65,74990,4K,3840x2160,Black
sony bravia kd-43x74k 43 inch (109 cm) led 4k tv,sony,bravia kd-43x74k 4,43,39990,4K,3840x2160,Black
dyanora dy-ld43u2s-001 43 inch (109 cm) led 4k tv,dyanora,dy-ld43u2s-001 4,43,18990,4K,3840x2160,Other
thomson fa series 42rt1044 42 inch (106 cm) led full hd tv,thomson,fa series 42rt1044 4,42,15499,Full HD,1920x1080,Black
thomson fa series 32rt1022 32 inch (81 cm) led hd-ready tv,thomson,fa series 32rt1022 3,32,10499,HD-Ready,1366x768,Black
thomson fa series 43rt1055 43 inch (109 cm) led full hd tv,thomson,fa series 43rt1055 4,43,16999,Full HD,1920x1080,Black
samsung ua32t4380ak 32 inch (81 cm) led hd-ready tv,samsung,ua32t4380ak 3,32,14990,HD-Ready,1366x768,Black
acer ar70gr2851ud 70 inch (177 cm) led 4k tv,acer,ar70gr2851ud 7,70,69999,4K,3840x2160,Grey
iffalcon iff32s53 32 inch (81 cm) led hd-ready tv,iffalcon,iff32s53 3,32,11999,HD-Ready,1366x768,Black
iffalcon iff43u62 43 inch (109 cm) led 4k tv,iffalcon,iff43u62 4,43,18999,4K,3840x2160,Black
iffalcon iff50u62 50 inch (127 cm) led 4k tv,iffalcon,iff50u62 5,50,24999,4K,3840x2160,Black
iffalcon iff55u62 55 inch (139 cm) led 4k tv,iffalcon,iff55u62 5,55,26990,4K,3840x2160,711 x 81 mm
samsung crystal vision ua43cue70akl 43 inch (109 cm) led 4k tv,samsung,crystal vision ua43cue70akl 4,43,31490,4K,3840x2160,Other
thomson 32alpha007bl 32 inch (81 cm) led hd-ready tv,thomson,32alpha007bl 3,32,8499,HD-Ready,1366x768,Black
xiaomi x series l50m8-a2in 50 inch (127 cm) led 4k tv,xiaomi,x series l50m8-a2in 5,50,34999,4K,3840x2160,Black
xiaomi mi tv 4x 50 inch (127 cm) led 4k tv,xiaomi,mi tv 4x 5,50,34999,4K,3840x2160,Black
thomson q65h1100 65 inch (165 cm) qled 4k tv,thomson,q65h1100 6,65,43999,4K,3840x2160,Black
lg 32lm563bptc 32 inch (81 cm) led hd-ready tv,lg,32lm563bptc 3,32,20990,HD-Ready,1366x768,Black
oneplus y1s pro 43 inch (109 cm) led 4k tv,oneplus,y1s pro 4,43,29990,4K,3840x2160,Black
infinix 32y1 32 inch (81 cm) led hd-ready tv,infinix,32y1 3,32,8999,HD-Ready,1366x768,Black
lg 55uq7500psf 55 inch (139 cm) led 4k tv,lg,55uq7500psf 5,55,43990,4K,3840x2160,Black
lg 43ur7500psc 43 inch (109 cm) led 4k tv,lg,43ur7500psc 4,43,32990,4K,3840x2160,Black
samsung ua55cue60ak 55 inch (139 cm) led 4k tv,samsung,ua55cue60ak 5,55,47990,4K,3840x2160,Black
samsung ua50cue60ak 50 inch (127 cm) led 4k tv,samsung,ua50cue60ak 5,50,44990,4K,3840x2160,Black
motorola 32hdgdmbsxp 32 inch (81 cm) led hd-ready tv,motorola,32hdgdmbsxp 3,32,11499,HD-Ready,1366x768,Black
cooaa 32s3u pro 32 inch (81 cm) led hd-ready tv,cooaa,32s3u pro 3,32,8499,HD-Ready,1366x768,Black
lg 43up7500ptz 43 inch (109 cm) led 4k tv,lg,43up7500ptz 4,43,36990,4K,3840x2160,Other
kodak 9xpro 329x5051 32 inch (81 cm) led hd-ready tv,kodak,9xpro 329x5051 3,32,10499,HD-Ready,1366x768,Black
kodak 43fhdx7xpro 43 inch (109 cm) led full hd tv,kodak,43fhdx7xpro 4,43,23499,Full HD,1920x1080,Black
samsung ua43aue65ak 43 inch (109 cm) led 4k tv,samsung,ua43aue65ak 4,43,28990,4K,3840x2160,Black
marq 32hdcdqee1b 32 inch (81 cm) led hd-ready tv,marq,32hdcdqee1b 3,32,8399,HD-Ready,1366x768,Black
vu 43gloled 43 inch (109 cm) led 4k tv,vu,43gloled 4,43,29999,4K,3840x2160,Black
acer v series ar43gr2851vqd 43 inch (109 cm) qled 4k tv,acer,v series ar43gr2851vqd 4,43,24999,4K,3840x2160,Black
thomson op max 55opmaxgt9030 55 inch (139 cm) led 4k tv,thomson,op max 55opmaxgt9030 5,55,29499,4K,3840x2160,Black
hisense 75a6k 75 inch (190 cm) led 4k tv,hisense,75a6k 7,75,94999,4K,3840x2160,Grey
hisense tornado 65a7k 65 inch (165 cm) led 4k tv,hisense,tornado 65a7k 6,65,59999,4K,3840x2160,Grey
hisense 50a7h 50 inch (127 cm) led 4k tv,hisense,50a7h 5,50,32999,4K,3840x2160,Black
kodak 55mt5022 55 inch (139 cm) qled 4k tv,kodak,55mt5022 5,55,30999,4K,3840x2160,Black
xiaomi mi x pro (l50m8-5xin) 50 inch (127 cm) led 4k tv,xiaomi,mi x pro (l50m8-5xin) 5,50,41999,LED 4K,3840x2160,Other
xiaomi mi x pro (l43m8-5xin) 43 inch (109 cm) led 4k tv,xiaomi,mi x pro (l43m8-5xin) 4,43,32999,LED 4K,3840x2160,Silver
marq 32hdndqee1b 32 inch (81 cm) led hd-ready tv,marq,32hdndqee1b 3,32,7449,HD-Ready,1366x768,Black
marq 32hdndmsvab 32 inch (81 cm) led hd-ready tv,marq,32hdndmsvab 3,32,8999,HD-Ready,1366x768,Black
oneplus 32y1 32 inch (81 cm) led hd-ready tv,oneplus,32y1 3,32,9999,HD-Ready,1366x768,Black
foxsky 32fsels-pro 32 inch (81 cm) led hd-ready tv,foxsky,32fsels-pro 3,32,7999,HD-Ready,1366x768,Black
blaupunkt cybersound 43csa7121 43 inch (109 cm) led full hd tv,blaupunkt,cybersound 43csa7121 4,43,17499,Full HD,1920x1080,Black
blaupunkt 42csa7707 42 inch (106 cm) led full hd tv,blaupunkt,42csa7707 4,42,16999,Full HD,1920x1080,Black
sony bravia kd-32w820k 32 inch (81 cm) led hd-ready tv,sony,bravia kd-32w820k 3,32,24999,HD-Ready,1366x768,Black
haier le32w400g 32 inch (81 cm) led hd-ready tv,haier,le32w400g 3,32,12490,HD-Ready,1366x768,Black
dyanora dy-ld24h4s 24 inch (60 cm) led hd-ready tv,dyanora,dy-ld24h4s 2,24,6999,HD-Ready,1366x768,Black
dyanora dy-ld32h4s 32 inch (81 cm) led hd-ready tv,dyanora,dy-ld32h4s 3,32,8999,HD-Ready,1366x768,Black
xiaomi smart tv 5a pro 32 inch (81 cm) led hd-ready tv,xiaomi,smart tv 5a pro 3,32,25999,HD-Ready,1366x768,Black
dyanora dy-ld32h1n 32 inch (81 cm) led hd-ready tv,dyanora,dy-ld32h1n 3,32,7999,HD-Ready,1366x768,Black
beethosol ledatbg32hdek 32 inch (81 cm) led hd-ready tv,beethosol,ledatbg32hdek 3,32,7399,HD-Ready,1366x768,Grey
sansui jswy32gshd 32 inch (81 cm) led hd-ready tv,sansui,jswy32gshd 3,32,11990,HD-Ready,1366x768,Black
toshiba 65m550mp 65 inch (165 cm) qled 4k tv,toshiba,65m550mp 6,65,56999,4K,3840x2160,Black
sansui jsw65asuhdff 65 inch (165 cm) led 4k tv,sansui,jsw65asuhdff 6,65,51999,4K,3840x2160,Black
sansui jsw43asuhd 43 inch (109 cm) led 4k tv,sansui,jsw43asuhd 4,43,25999,4K,3840x2160,Black
realme smart tv 32 32 inch (81 cm) led hd-ready tv,realme,smart tv 32 3,32,9999,HD-Ready,1366x768,Black
blaupunkt cybersound g2 65csgt7024 65 inch (165 cm) led 4k tv,blaupunkt,cybersound g2 65csgt7024 6,65,39999,4K,3840x2160,830 x 130 mm
blaupunkt 50csa7007 50 inch (127 cm) led 4k tv,blaupunkt,50csa7007 5,50,28999,4K,3840x2160,Black
blaupunkt 55csa7090 55 inch (139 cm) led 4k tv,blaupunkt,55csa7090 5,55,32999,4K,3840x2160,Black
lg oled65a2psa 65 inch (165 cm) oled 4k tv,lg,oled65a2psa 6,65,149990,4K,3840x2160,Black
