Name,Brand,Model,Inches,Price,Price_Category,DisplayType,Resolution,Colour,Width,Height,PPI,Original_Brand
oneplus y1s 40 inch (101 cm) led full hd tv,Oneplus,y1s 4,40,18990,Affordable,Full HD,1920x1080,Black,1920,1080,55.07,oneplus
tcl 32s5403af 32 inch (81 cm) led full hd tv,Tcl,32s5403af 3,32,13990,Affordable,Full HD,1920x1080,Black,1920,1080,68.84,tcl
tcl 32s5400a 32 inch (81 cm) led hd-ready tv,Tcl,32s5400a 3,32,9990,Budget,HD-Ready,1366x768,Black,1366,768,48.97,tcl
sony bravia kd-65x74l 65 inch (165 cm) led 4k tv,Sony,bravia kd-65x74l 6,65,74990,High-end,4K,3840x2160,Black,3840,2160,67.78,sony
sony bravia kd-43x74k 43 inch (109 cm) led 4k tv,Sony,bravia kd-43x74k 4,43,39990,Mid-range,4K,3840x2160,Black,3840,2160,102.46,sony
dyanora dy-ld43u2s-001 43 inch (109 cm) led 4k tv,Dyanora,dy-ld43u2s-001 4,43,18990,Affordable,4K,3840x2160,Other,3840,2160,102.46,dyanora
thomson fa series 42rt1044 42 inch (106 cm) led full hd tv,Thomson,fa series 42rt1044 4,42,15499,Affordable,Full HD,1920x1080,Black,1920,1080,52.45,thomson
thomson fa series 32rt1022 32 inch (81 cm) led hd-ready tv,Thomson,fa series 32rt1022 3,32,10499,Affordable,HD-Ready,1366x768,Black,1366,768,48.97,thomson
thomson fa series 43rt1055 43 inch (109 cm) led full hd tv,Thomson,fa series 43rt1055 4,43,16999,Affordable,Full HD,1920x1080,Black,1920,1080,51.23,thomson
samsung ua32t4380ak 32 inch (81 cm) led hd-ready tv,Samsung,ua32t4380ak 3,32,14990,Affordable,HD-Ready,1366x768,Black,1366,768,48.97,samsung
acer ar70gr2851ud 70 inch (177 cm) led 4k tv,Acer,ar70gr2851ud 7,70,69999,High-end,4K,3840x2160,Grey,3840,2160,62.94,acer
iffalcon iff32s53 32 inch (81 cm) led hd-ready tv,Iffalcon,iff32s53 3,32,11999,Affordable,HD-Ready,1366x768,Black,1366,768,48.97,iffalcon
iffalcon iff43u62 43 inch (109 cm) led 4k tv,Iffalcon,iff43u62 4,43,18999,Affordable,4K,3840x2160,Black,3840,2160,102.46,iffalcon
iffalcon iff50u62 50 inch (127 cm) led 4k tv,Iffalcon,iff50u62 5,50,24999,Affordable,4K,3840x2160,Black,3840,2160,88.12,iffalcon
iffalcon iff55u62 55 inch (139 cm) led 4k tv,Iffalcon,iff55u62 5,55,26990,Affordable,4K,3840x2160,711 x 81 mm,3840,2160,80.11,iffalcon
samsung crystal vision ua43cue70akl 43 inch (109 cm) led 4k tv,Samsung,crystal vision ua43cue70akl 4,43,31490,Mid-range,4K,3840x2160,Other,3840,2160,102.46,samsung
thomson 32alpha007bl 32 inch (81 cm) led hd-ready tv,Thomson,32alpha007bl 3,32,8499,Budget,HD-Ready,1366x768,Black,1366,768,48.97,thomson
xiaomi x series l50m8-a2in 50 inch (127 cm) led 4k tv,Xiaomi,x series l50m8-a2in 5,50,34999,Mid-range,4K,3840x2160,Black,3840,2160,88.12,xiaomi
xiaomi mi tv 4x 50 inch (127 cm) led 4k tv,Xiaomi,mi tv 4x 5,50,34999,Mid-range,4K,3840x2160,Black,3840,2160,88.12,xiaomi
thomson q65h1100 65 inch (165 cm) qled 4k tv,Thomson,q65h1100 6,65,43999,Mid-range,4K,3840x2160,Black,3840,2160,67.78,thomson
lg 32lm563bptc 32 inch (81 cm) led hd-ready tv,Lg,32lm563bptc 3,32,20990,Affordable,HD-Ready,1366x768,Black,1366,768,48.97,lg
oneplus y1s pro 43 inch (109 cm) led 4k tv,Oneplus,y1s pro 4,43,29990,Affordable,4K,3840x2160,Black,3840,2160,102.46,oneplus
infinix 32y1 32 inch (81 cm) led hd-ready tv,Infinix,32y1 3,32,8999,Budget,HD-Ready,1366x768,Black,1366,768,48.97,infinix
